mountain,base_depth,region,new_snow,day,year_total
Mt. Hood Meadows,179 in.,Mt. Hood,14 in.,"Apr  3, 2009",299 in.
Mt. Hood Meadows,137 in.,Mt. Hood,1 in.,"Mar  3, 2012",266 in.
Mt. Hood Meadows,144 in.,Mt. Hood,10 in.,"Apr  9, 2010",168 in.
Timberline Lodge,73 in.,Oregon,5 in.,"Apr 20, 2014",300 in.
Timberline Lodge,94 in.,Oregon,3 in.,"Dec 26, 2015",313 in.
Timberline Lodge,204 in.,Oregon,5 in.,"May  8, 2011",324 in.
Timberline Lodge,146 in.,Oregon,6 in.,"May 24, 2012",333 in.
Timberline Lodge,33 in.,Oregon,5 in.,"Nov 10, 2009",371 in.
Timberline Lodge,163 in.,Oregon,1 in.,"Apr 21, 2013",255 in.
Timberline Lodge,58 in.,Oregon,7 in.,"Nov 27, 2010",248 in.
Mt. Bachelor,108 in.,Oregon,23 in.,"Mar 20, 2013",263 in.
Mt. Bachelor,104 in.,Oregon,2 in.,"Mar  9, 2014",462 in.
Mt. Bachelor,99 in.,Oregon,3 in.,"Mar 29, 2010",133 in.
Mt. Bachelor,67 in.,Oregon,10 in.,"Dec 17, 2015",179 in.
Mt. Hood Meadows,113 in.,Mt. Hood,2 in.,"Apr 16, 2013",226 in.
Mt. Bachelor,152 in.,Oregon,7 in.,"Mar 21, 2011",205 in.
Mt. Bachelor,132 in.,Oregon,6 in.,"Mar 14, 2012",275 in.
Mt. Hood Meadows,110 in.,Mt. Hood,4 in.,"Mar 26, 2014",247 in.
Mt. Hood Meadows,87 in.,Mt. Hood,19 in.,"Dec 24, 2015",209 in.
Mt. Hood Meadows,142 in.,Mt. Hood,1 in.,"Apr 11, 2011",228 in.
Mt. Hood Meadows,160 in.,Mt. Hood,2 in.,"Apr  9, 2009",301 in.
Mt. Hood Meadows,130 in.,Mt. Hood,3 in.,"Mar  5, 2012",269 in.
Mt. Hood Meadows,135 in.,Mt. Hood,1 in.,"Apr 12, 2010",169 in.
Timberline Lodge,73 in.,Oregon,6 in.,"Apr 22, 2014",306 in.
Timberline Lodge,94 in.,Oregon,6 in.,"Dec 28, 2015",319 in.
Timberline Lodge,198 in.,Oregon,1 in.,"May 12, 2011",325 in.
Timberline Lodge,145 in.,Oregon,9 in.,"May 25, 2012",342 in.
Timberline Lodge,36 in.,Oregon,1 in.,"Nov 11, 2009",372 in.
Timberline Lodge,163 in.,Oregon,1 in.,"Apr 22, 2013",256 in.
Timberline Lodge,0 in.,Oregon,2 in.,"Nov 29, 2010",250 in.
Mt. Bachelor,116 in.,Oregon,20 in.,"Mar 21, 2013",283 in.
Mt. Bachelor,104 in.,Oregon,11 in.,"Mar 10, 2014",473 in.
Mt. Bachelor,112 in.,Oregon,18 in.,"Mar 30, 2010",151 in.
Mt. Bachelor,73 in.,Oregon,6 in.,"Dec 18, 2015",185 in.
Mt. Hood Meadows,113 in.,Mt. Hood,1 in.,"Apr 17, 2013",227 in.
Mt. Bachelor,150 in.,Oregon,4 in.,"Mar 22, 2011",209 in.
Mt. Bachelor,140 in.,Oregon,11 in.,"Mar 15, 2012",286 in.
Mt. Hood Meadows,118 in.,Mt. Hood,12 in.,"Mar 27, 2014",259 in.
Mt. Hood Meadows,85 in.,Mt. Hood,4 in.,"Dec 25, 2015",213 in.
Mt. Hood Meadows,145 in.,Mt. Hood,1 in.,"Apr 12, 2011",229 in.
Mt. Hood Meadows,162 in.,Mt. Hood,5 in.,"Apr 10, 2009",306 in.
Mt. Hood Meadows,135 in.,Mt. Hood,5 in.,"Mar  6, 2012",274 in.
Mt. Hood Meadows,132 in.,Mt. Hood,1 in.,"Apr 15, 2010",170 in.
Timberline Lodge,73 in.,Oregon,9 in.,"Apr 24, 2014",315 in.
Timberline Lodge,94 in.,Oregon,1 in.,"Dec 29, 2015",320 in.
Timberline Lodge,196 in.,Oregon,6 in.,"May 16, 2011",331 in.
Timberline Lodge,126 in.,Oregon,4 in.,"Jun  5, 2012",346 in.
Timberline Lodge,0 in.,Oregon,2 in.,"Nov 12, 2009",374 in.
Timberline Lodge,150 in.,Oregon,1 in.,"Apr 29, 2013",257 in.
Timberline Lodge,63 in.,Oregon,3 in.,"Nov 30, 2010",253 in.
Mt. Bachelor,122 in.,Oregon,7 in.,"Mar 22, 2013",290 in.
Mt. Bachelor,111 in.,Oregon,9 in.,"Mar 11, 2014",482 in.
Mt. Bachelor,115 in.,Oregon,8 in.,"Mar 31, 2010",159 in.
Mt. Bachelor,73 in.,Oregon,2 in.,"Dec 19, 2015",187 in.
Mt. Hood Meadows,111 in.,Mt. Hood,3 in.,"Apr 20, 2013",230 in.
Mt. Bachelor,148 in.,Oregon,2 in.,"Mar 24, 2011",211 in.
Mt. Bachelor,144 in.,Oregon,11 in.,"Mar 16, 2012",297 in.
Mt. Hood Meadows,126 in.,Mt. Hood,11 in.,"Mar 28, 2014",270 in.
Mt. Hood Meadows,82 in.,Mt. Hood,4 in.,"Dec 27, 2015",217 in.
Mt. Hood Meadows,152 in.,Mt. Hood,5 in.,"Apr 15, 2011",234 in.
Mt. Hood Meadows,156 in.,Mt. Hood,3 in.,"Apr 13, 2009",309 in.
Mt. Hood Meadows,130 in.,Mt. Hood,4 in.,"Mar 11, 2012",278 in.
Mt. Hood Meadows,114 in.,Mt. Hood,1 in.,"Apr 25, 2010",171 in.
Timberline Lodge,73 in.,Oregon,5 in.,"Apr 25, 2014",320 in.
Timberline Lodge,98 in.,Oregon,4 in.,"Dec 30, 2015",324 in.
Timberline Lodge,183 in.,Oregon,2 in.,"May 27, 2011",333 in.
Timberline Lodge,124 in.,Oregon,2 in.,"Jun 11, 2012",348 in.
Timberline Lodge,0 in.,Oregon,1 in.,"Nov 16, 2009",375 in.
Timberline Lodge,151 in.,Oregon,3 in.,"Apr 30, 2013",260 in.
Timberline Lodge,75 in.,Oregon,18 in.,"Dec  1, 2010",271 in.
Mt. Bachelor,121 in.,Oregon,3 in.,"Mar 24, 2013",293 in.
Mt. Bachelor,108 in.,Oregon,2 in.,"Mar 13, 2014",484 in.
Mt. Bachelor,127 in.,Oregon,13 in.,"Apr  3, 2010",172 in.
Mt. Bachelor,70 in.,Oregon,8 in.,"Dec 20, 2015",195 in.
Mt. Hood Meadows,18 in.,Mt. Hood,3 in.,"Dec  2, 2013",233 in.
Mt. Bachelor,149 in.,Oregon,4 in.,"Mar 25, 2011",215 in.
Mt. Bachelor,145 in.,Oregon,9 in.,"Mar 17, 2012",306 in.
Mt. Hood Meadows,133 in.,Mt. Hood,11 in.,"Mar 29, 2014",281 in.
Mt. Hood Meadows,83 in.,Mt. Hood,4 in.,"Dec 28, 2015",221 in.
Mt. Hood Meadows,159 in.,Mt. Hood,13 in.,"Apr 16, 2011",247 in.
Mt. Hood Meadows,162 in.,Mt. Hood,8 in.,"Apr 14, 2009",317 in.
Mt. Hood Meadows,131 in.,Mt. Hood,6 in.,"Mar 12, 2012",284 in.
Mt. Hood Meadows,114 in.,Mt. Hood,1 in.,"Apr 26, 2010",172 in.
Timberline Lodge,73 in.,Oregon,1 in.,"Apr 26, 2014",321 in.
Timberline Lodge,187 in.,Oregon,6 in.,"May 29, 2011",339 in.
Timberline Lodge,122 in.,Oregon,24 in.,"Jun 12, 2012",372 in.
Timberline Lodge,0 in.,Oregon,4 in.,"Nov 17, 2009",379 in.
Timberline Lodge,105 in.,Oregon,7 in.,"May 22, 2013",267 in.
Timberline Lodge,75 in.,Oregon,1 in.,"Dec  3, 2010",272 in.
Mt. Bachelor,118 in.,Oregon,3 in.,"Mar 25, 2013",296 in.
Mt. Bachelor,106 in.,Oregon,2 in.,"Mar 14, 2014",486 in.
Mt. Bachelor,124 in.,Oregon,2 in.,"Apr  5, 2010",174 in.
Mt. Bachelor,80 in.,Oregon,14 in.,"Dec 21, 2015",209 in.
Mt. Hood Meadows,23 in.,Mt. Hood,3 in.,"Dec  3, 2013",236 in.
Mt. Bachelor,157 in.,Oregon,11 in.,"Mar 26, 2011",226 in.
Mt. Bachelor,142 in.,Oregon,1 in.,"Mar 18, 2012",307 in.
Mt. Hood Meadows,136 in.,Mt. Hood,5 in.,"Mar 30, 2014",286 in.
Mt. Hood Meadows,81 in.,Mt. Hood,4 in.,"Dec 29, 2015",225 in.
Mt. Hood Meadows,149 in.,Mt. Hood,3 in.,"Apr 19, 2011",250 in.
Mt. Hood Meadows,135 in.,Mt. Hood,1 in.,"May  3, 2009",318 in.
Mt. Hood Meadows,139 in.,Mt. Hood,15 in.,"Mar 13, 2012",299 in.
Mt. Hood Meadows,119 in.,Mt. Hood,2 in.,"May  2, 2010",174 in.
Timberline Lodge,73 in.,Oregon,7 in.,"Apr 27, 2014",328 in.
Timberline Lodge,185 in.,Oregon,1 in.,"May 30, 2011",340 in.
Timberline Lodge,9 in.,Oregon,15 in.,"Nov 20, 2012",387 in.
Timberline Lodge,0 in.,Oregon,8 in.,"Nov 18, 2009",387 in.
Timberline Lodge,116 in.,Oregon,13 in.,"May 23, 2013",280 in.
Timberline Lodge,0 in.,Oregon,2 in.,"Dec  8, 2010",274 in.
Mt. Bachelor,118 in.,Oregon,1 in.,"Mar 26, 2013",297 in.
Mt. Bachelor,107 in.,Oregon,7 in.,"Mar 15, 2014",493 in.
Mt. Bachelor,124 in.,Oregon,4 in.,"Apr  6, 2010",178 in.
Mt. Bachelor,89 in.,Oregon,13 in.,"Dec 22, 2015",222 in.
Mt. Hood Meadows,23 in.,Mt. Hood,1 in.,"Dec  6, 2013",237 in.
Mt. Bachelor,158 in.,Oregon,5 in.,"Mar 27, 2011",231 in.
Mt. Bachelor,142 in.,Oregon,1 in.,"Mar 19, 2012",308 in.
Mt. Hood Meadows,135 in.,Mt. Hood,2 in.,"Mar 31, 2014",288 in.
Mt. Hood Meadows,145 in.,Mt. Hood,3 in.,"Apr 20, 2011",253 in.
Mt. Hood Meadows,16 in.,Mt. Hood,18 in.,"Oct 28, 2009",336 in.
Mt. Hood Meadows,138 in.,Mt. Hood,6 in.,"Mar 14, 2012",305 in.
Mt. Hood Meadows,126 in.,Mt. Hood,11 in.,"May  4, 2010",185 in.
Timberline Lodge,85 in.,Oregon,12 in.,"Apr 28, 2014",340 in.
Timberline Lodge,184 in.,Oregon,1 in.,"Jun  1, 2011",341 in.
Timberline Lodge,37 in.,Oregon,1 in.,"Nov 25, 2012",388 in.
Timberline Lodge,0 in.,Oregon,4 in.,"Nov 19, 2009",391 in.
Timberline Lodge,117 in.,Oregon,4 in.,"May 24, 2013",284 in.
Timberline Lodge,0 in.,Oregon,6 in.,"Dec  9, 2010",280 in.
Mt. Bachelor,118 in.,Oregon,1 in.,"Mar 27, 2013",298 in.
Mt. Bachelor,106 in.,Oregon,7 in.,"Mar 16, 2014",500 in.
Mt. Bachelor,123 in.,Oregon,7 in.,"Apr  7, 2010",185 in.
Mt. Bachelor,95 in.,Oregon,12 in.,"Dec 23, 2015",234 in.
